key,family,family_label,params,direction,direction_label,expression,description,elapsed_seconds,IC,IR,Turnover,Score,PassGates,maxx,minn,max_mean,min_mean,positive_ic_ratio,daily_ic_mean_bps
range_location__base__pro,range_location,Close Location In Range,{},1,pro,rank(+1 * ((close-low)/(high-low+eps))),Reward closes near the intrabar high relative to the low-high range.,11.408,0.0185725584891918,35.40143895653958,11.388956069946287,7.662343044164071,True,4.34591817855835,0.0038424148224294,4.046623229980469,0.0633579492568969,0.990358126721763,1.857255848919187
range_conditioned_location__window8__pro,range_conditioned_location,Range Location x Range Surprise,{'window': 8},1,pro,"rank(+1 * range_loc * (range_pct/mean(range_pct,8)))",Follow close location in the bar when range expansion exceeds its 8-bar norm.,11.475,0.0170752972306933,31.586759155723456,11.05041217803955,6.491393641147421,True,4.356349468231201,0.0038424148224294,4.05239200592041,0.0632129833102226,0.9793388429752066,1.7075297230693354
wick_imbalance__base__pro,wick_imbalance,Wick Imbalance,{},1,pro,rank(+1 * ((lower_wick-upper_wick)/(high-low+eps))),Reward bars with stronger lower wick support than upper wick pressure.,11.631,0.0146095818493047,37.66603584645432,11.223273277282717,5.522278459799223,True,4.355400562286377,0.0,4.050386428833008,0.0,0.9944903581267218,1.460958184930478
zscore_body_fraction__window8__pro,zscore_body_fraction,Body Fraction Z-Score,{'window': 8},1,pro,"rank(+1 * zscore((close-open)/(high-low+eps),8))",Follow the rolling 8-bar z-score of candle body fraction.,15.651,0.0140520300720565,45.88924245610388,12.314119338989258,5.348179197410382,True,4.356349468231201,0.0,4.052391529083252,0.0,0.9972451790633609,1.4052030072056545
ema_spread__long32_short8__anti,ema_spread,Short-Long EMA Spread,"{'short': 8, 'long': 32}",-1,anti,"rank(-1 * (ema(close,8)/ema(close,32) - 1))",Fade the short/long EMA spread using 8 vs 32 bars.,13.026,0.0211577183130086,5.809488045940821,0.8777076005935669,4.993842966189443,True,4.356349945068359,0.0,3.990483522415161,0.0,0.6446280991735537,2.115771831300866
range_conditioned_location__window16__pro,range_conditioned_location,Range Location x Range Surprise,{'window': 16},1,pro,"rank(+1 * range_loc * (range_pct/mean(range_pct,16)))",Follow close location in the bar when range expansion exceeds its 16-bar norm.,11.172,0.0152886635111316,24.337761662643413,10.94854736328125,4.841764046240185,True,4.356349468231201,0.0038424148224294,4.05239200592041,0.0632129833102226,0.9600550964187328,1.5288663511131626
zscore_body_fraction__window16__pro,zscore_body_fraction,Body Fraction Z-Score,{'window': 16},1,pro,"rank(+1 * zscore((close-open)/(high-low+eps),16))",Follow the rolling 16-bar z-score of candle body fraction.,15.663,0.0140011599401534,35.63377849112136,12.243005752563477,4.703685268378066,True,4.356349468231201,0.0,4.05239200592041,0.0,0.9862258953168044,1.400115994015342
ema_spread__long16_short4__anti,ema_spread,Short-Long EMA Spread,"{'short': 4, 'long': 16}",-1,anti,"rank(-1 * (ema(close,4)/ema(close,16) - 1))",Fade the short/long EMA spread using 4 vs 16 bars.,14.357,0.019054658098292,5.891727612432481,1.784731388092041,4.408511656585926,True,4.355400562286377,0.0,3.990214109420776,0.0,0.6735537190082644,1.9054658098292017
open_close_return__base__pro,open_close_return,Open-Close Return,{},1,pro,rank(+1 * (close_trade_px/open_trade_px - 1)),Follow same-bar open-to-close move.,9.686,0.0134581218955017,20.51218757224919,11.705188751220703,3.444572513489917,True,4.355400562286377,0.0,4.050394058227539,0.0,0.9242424242424242,1.3458121895501711
range_conditioned_body__window16__pro,range_conditioned_body,Body x Range Surprise,{'window': 16},1,pro,"rank(+1 * body_frac * (range_pct/mean(range_pct,16)))",Follow candle body when the contemporaneous range is a 16-bar outlier.,12.455,0.012686646319425,20.760710532803948,11.845309257507324,3.081939946462158,True,4.356349468231201,0.0,4.05239200592041,0.0,0.9146005509641874,1.2686646319425026
